gamePk,team_name,norm_x,period_1_side
2015020066,Ottawa Senators,62.0,left
2015020067,Buffalo Sabres,-60.5,right
2015020067,Tampa Bay Lightning,54.0,left
2015020068,Dallas Stars,64.0,left
2015020068,Florida Panthers,-65.0,right
2015020069,Pittsburgh Penguins,64.0,left
2015020069,Toronto Maple Leafs,-72.0,right
2015020070,Carolina Hurricanes,56.0,left
2015020070,Washington Capitals,-64.0,right
2015020071,New York Islanders,-65.5,right
2015020071,San Jose Sharks,63.5,left
2015020072,Chicago Blackhawks,-67.0,right
2015020072,Columbus Blue Jackets,59.0,left
2015020073,Calgary Flames,-69.5,right
2015020073,Edmonton Oilers,63.0,left
2015020074,Arizona Coyotes,61.0,left
2015020074,Boston Bruins,-51.0,right
2015020075,New Jersey Devils,58.0,left
2015020075,New York Rangers,-65.0,right
2015020076,St. Louis Blues,63.5,left
2015020076,Winnipeg Jets,-68.0,right
2015020077,Anaheim Ducks,76.0,left
2015020077,Minnesota Wild,-67.5,right
2015020078,Edmonton Oilers,69.5,left
2015020078,Vancouver Canucks,-66.75,right
2015020079,Colorado Avalanche,57.5,left
2015020079,Los Angeles Kings,-66.5,right
2015020080,New York Rangers,-73.5,right
2015020080,San Jose Sharks,70.0,left
2015020081,Arizona Coyotes,-53.25,right
2015020081,New Jersey Devils,63.25,left
2015020082,Dallas Stars,68.0,left
2015020082,Philadelphia Flyers,-66.0,right
2015020083,Florida Panthers,-60.75,right
2015020083,Pittsburgh Penguins,67.25,left
2015020084,Columbus Blue Jackets,-60.5,right
2015020084,New York Islanders,66.5,left
2015020085,Montréal Canadiens,-73.0,right
2015020085,St. Louis Blues,61.0,left
2015020086,Nashville Predators,73.0,left
2015020086,Tampa Bay Lightning,-57.0,right
2015020087,Calgary Flames,-69.0,right
2015020087,Washington Capitals,71.0,left
2015020088,Buffalo Sabres,70.5,left
2015020088,Toronto Maple Leafs,-62.0,right
2015020089,Boston Bruins,58.5,left
2015020089,Philadelphia Flyers,-67.0,right
2015020090,Detroit Red Wings,60.0,left
2015020090,Edmonton Oilers,-60.0,right
2015020091,Carolina Hurricanes,55.0,left
2015020091,Colorado Avalanche,-51.5,right
2015020092,Arizona Coyotes,58.0,left
2015020092,New York Rangers,-70.5,right
2015020093,Dallas Stars,-60.0,right
2015020093,Pittsburgh Penguins,62.0,left
2015020094,New Jersey Devils,-64.0,right
2015020094,Ottawa Senators,64.5,left
2015020095,Anaheim Ducks,-54.0,right
2015020095,Nashville Predators,60.0,left
2015020096,Columbus Blue Jackets,66.0,left
2015020096,Minnesota Wild,-64.5,right
2015020097,Chicago Blackhawks,-74.5,right
2015020097,Florida Panthers,69.0,left
2015020098,Vancouver Canucks,-57.0,right
2015020098,Washington Capitals,67.0,left
2015020099,Los Angeles Kings,-64.0,right
2015020099,San Jose Sharks,65.5,left
2015020100,Buffalo Sabres,62.0,left
2015020100,Montréal Canadiens,-58.0,right
2015020101,Boston Bruins,71.0,left
2015020101,New York Islanders,-70.0,right
2015020102,Tampa Bay Lightning,70.0,left
2015020102,Winnipeg Jets,-69.75,right
2015020103,Calgary Flames,-65.25,right
2015020103,Detroit Red Wings,59.5,left
2015020104,Edmonton Oilers,-72.0,right
2015020104,Washington Capitals,70.0,left
2015020105,Carolina Hurricanes,47.0,left
2015020105,Los Angeles Kings,-53.0,right
2015020106,Anaheim Ducks,60.0,left
2015020106,Minnesota Wild,-58.0,right
2015020107,Buffalo Sabres,71.0,left
2015020107,New Jersey Devils,-62.0,right
2015020108,Montréal Canadiens,-74.0,right
2015020108,Toronto Maple Leafs,58.0,left
2015020109,Arizona Coyotes,-51.0,right
2015020109,Ottawa Senators,64.0,left
2015020110,New York Rangers,72.0,left
2015020110,Philadelphia Flyers,-67.5,right
2015020111,New York Islanders,-67.0,right
2015020111,St. Louis Blues,66.25,left
2015020112,Nashville Predators,61.0,left
2015020112,Pittsburgh Penguins,-60.5,right
2015020113,Dallas Stars,-75.0,right
2015020113,Florida Panthers,66.5,left
2015020114,Chicago Blackhawks,-64.25,right
2015020114,Tampa Bay Lightning,74.0,left
2015020115,Colorado Avalanche,-51.0,right
2015020115,Columbus Blue Jackets,55.0,left
2015020116,Detroit Red Wings,59.0,left
